# Google Correlate
# Copyright  Google Inc.
#
# Exported data may be used for any purpose, subject to the Google Correlate Terms of Service (http://correlate.googlelabs.com/tos).
#
# If you choose to use the data, please attribute it to Google as follows: "Data Source: Google Correlate (http://correlate.googlelabs.com)".
#
# Each week begins on the Sunday (Pacific Time) indicated for the row
#
# Source: https://www.google.com/trends/correlate/csv?e=data+analytics&t=all

State,data analytics,enterprise data,unstructured data,big data analytics,data integration,portfolio management,proof of concept,use cases,part time phd,identity and access management,11g,application security,data architecture,senior director,consulting company,analyst,architecture diagram,for oracle,expdp,condolence email,it infrastructure,oracle database,deloitte consulting,j2ee,with oracle,consulting companies,oracle data guard,part time mba programs,enterprise edition,what is oracle,salary negotiation,impdp,data analyst,using oracle,business process,alter table modify,oracle rac,oracle server,cloud computing,system integration,research analyst,oracle function,metadata management,materialized views,oracle 11g,sample project,risk and compliance,consulting resume,it industry,oracle schema,thought leadership,part time masters,rman backup,oracle data,reference architecture,download oracle,clob,management consulting,cio magazine,oracle 9i,application development,database oracle,9i,redo log,global business services,control file,oracle xml,approval process,business process management,string function,tablespace,bullets in excel,data management,alter table modify column,functional requirement,management consulting firms,quick turnaround,xmltype,oracle installation,schema oracle,axis2,enterprise service bus,winrunner,connect to oracle,job email,oracle certification,work life balance,oracle user,it companies,data capture,etl tools,acheampong,tablespace oracle,acceptance testing,soa architecture,10g,oracle performance,analyst position,mckenzie consulting,engagement manager
Nebraska,-0.231,0.349,0.228,-0.462,-0.101,-0.005,0.076,-0.156,-0.541,-0.149,0.550,0.445,-0.266,-0.495,-0.411,-0.003,0.452,0.379,0.252,-0.326,0.539,0.561,-0.651,1.050,0.438,-0.478,0.413,-0.981,0.590,0.213,-0.260,0.287,0.069,1.048,0.251,0.763,0.551,0.291,0.389,-0.395,-0.307,0.615,0.103,0.463,0.714,0.090,0.196,-1.103,0.274,0.434,-0.315,-0.870,0.632,0.491,0.234,-0.028,1.368,-0.713,-0.161,0.226,0.764,0.612,0.259,0.584,-0.369,0.819,0.476,-0.368,0.375,0.403,0.949,0.121,-0.203,0.746,0.307,-0.851,-0.327,0.805,0.069,0.284,0.863,0.941,-0.119,0.358,-0.407,0.664,0.662,0.683,0.026,0.119,0.385,-0.239,0.348,0.269,0.556,0.691,0.517,-0.038,-0.390,-0.142
Nevada,-0.818,-0.897,-0.759,-0.582,-0.822,-0.866,-0.830,-0.926,-0.613,-0.324,-1.031,-0.618,-0.663,-0.531,-0.524,-0.773,-0.907,-0.973,-0.997,-0.383,-0.776,-1.056,-0.866,-1.066,-1.005,-0.859,-0.707,-0.383,-0.878,-0.687,-0.881,-0.924,-1.003,-1.028,-0.724,-0.931,-0.768,-1.059,-0.748,-0.812,-0.904,-1.041,-0.559,-0.933,-1.012,-0.987,-0.492,-0.506,-0.966,-0.782,-0.698,-0.870,-0.884,-0.865,-0.336,-0.941,-0.936,-0.726,-0.736,-1.108,-0.849,-1.077,-1.133,-0.934,-0.624,-1.100,-0.886,-0.767,-1.047,-0.906,-1.115,-0.839,-1.172,-0.830,-0.621,-0.773,-0.534,-0.887,-0.634,-0.751,-0.945,-0.827,-0.838,-1.213,-0.691,-0.814,-1.320,-0.937,-0.892,-0.678,-0.940,-0.275,-0.856,-0.743,-0.695,-0.893,-0.775,-0.698,-0.677,-0.427
New Hampshire,0.722,0.387,1.108,0.761,0.755,-0.030,0.566,0.715,0.200,0.589,0.480,0.736,0.167,0.547,0.245,0.091,0.281,0.467,0.201,0.877,0.528,0.394,0.684,0.235,0.443,0.747,0.238,0.629,1.050,0.800,0.445,0.618,0.032,0.324,-0.031,0.424,0.209,0.704,1.184,0.645,0.346,0.320,0.020,0.503,0.211,-0.015,0.360,0.605,0.201,0.301,0.619,0.478,-0.141,0.625,0.894,0.319,0.263,0.888,0.967,0.007,0.809,0.150,-0.006,0.172,0.550,0.083,1.058,0.706,0.289,0.262,-0.008,0.062,0.737,0.448,-0.116,0.613,0.233,0.751,0.305,0.209,0.518,0.302,0.969,-0.159,0.929,0.268,0.481,0.566,0.325,0.832,0.304,-0.238,-0.002,0.070,-0.035,0.198,0.511,0.027,0.408,0.452
New Jersey,1.933,1.586,1.730,2.546,2.047,2.187,1.761,2.266,2.191,1.595,1.982,1.312,2.162,2.114,2.810,2.305,2.191,2.238,2.279,2.191,1.722,1.782,1.169,2.541,1.945,2.751,1.956,2.231,1.885,2.206,1.072,1.961,2.531,1.968,1.705,2.184,2.240,1.988,1.488,1.996,2.135,2.212,1.972,2.544,2.100,2.222,2.105,1.482,2.174,1.888,1.126,1.750,2.335,1.641,1.469,2.444,1.783,1.563,1.327,2.568,2.196,1.832,2.522,1.809,1.733,2.084,1.693,1.796,1.705,1.562,1.813,1.512,2.292,2.210,2.791,1.748,1.876,1.834,2.267,1.797,1.670,1.417,2.931,2.316,2.044,2.167,1.332,1.537,2.468,1.942,3.067,1.432,1.559,1.655,2.678,2.061,2.475,1.667,1.253,2.302
New Mexico,-0.895,-1.241,-0.341,-0.899,-0.966,-0.535,-0.104,-0.672,-1.098,-1.099,-0.453,-0.402,-0.734,-0.867,-1.016,-1.080,-0.576,-0.672,-0.493,-1.233,-0.688,-0.588,-0.801,-0.822,-0.612,-1.059,-0.378,-0.981,-0.481,-0.868,-0.919,-0.263,-1.139,-0.471,-0.868,-1.103,-1.030,-0.640,-0.366,-0.108,-0.847,-0.859,-1.433,-0.509,-0.359,-0.612,-1.366,-1.103,-0.930,-0.622,-0.953,-0.870,-0.823,-0.543,-0.646,-0.701,-0.861,-0.868,-1.000,-0.494,-0.758,-0.728,-0.573,-0.715,-1.405,-0.848,-0.809,-0.805,-0.741,-0.551,-0.787,-0.583,-0.494,-0.981,-0.456,-0.968,-0.555,-1.017,-0.440,-0.509,-0.559,-0.854,-0.998,-0.858,-1.325,-0.406,-1.093,-0.835,-1.042,-0.978,-1.035,-0.184,-0.681,-0.501,-0.941,-0.439,-0.706,-1.014,-0.639,-0.914
New York,0.995,0.399,0.707,0.965,0.209,1.929,0.902,0.427,1.254,0.145,0.223,0.319,0.493,1.315,0.835,1.603,0.461,0.228,0.604,1.969,0.131,0.094,1.273,0.311,0.086,0.521,0.198,1.673,-0.041,-0.001,0.889,0.445,0.924,0.399,0.040,1.411,0.310,0.349,0.280,0.913,2.498,0.973,0.586,0.768,0.312,0.478,2.096,1.555,0.320,0.621,1.865,1.901,0.316,0.200,-0.133,0.182,0.974,1.492,0.726,0.134,0.233,0.490,0.098,0.221,1.520,0.445,0.243,0.524,0.108,0.988,0.511,1.880,0.183,1.407,0.442,1.662,1.623,0.577,0.302,0.775,0.393,0.176,0.122,0.602,2.314,0.165,0.990,0.177,0.069,0.202,0.514,1.860,0.520,0.163,0.285,0.178,0.540,1.131,1.527,1.445
North Carolina,0.685,0.331,0.546,0.584,1.379,0.278,0.600,0.453,0.298,0.321,0.513,0.082,0.250,0.205,0.104,0.520,0.332,0.507,0.549,0.593,0.526,0.186,0.473,0.317,0.280,0.254,0.470,0.186,0.057,0.339,0.173,0.566,0.683,0.376,0.433,0.605,0.570,0.418,0.453,0.317,0.302,0.315,0.595,0.420,0.450,0.522,0.704,0.479,0.721,0.416,0.172,0.254,0.202,0.154,0.916,0.180,0.603,0.307,0.150,-0.134,0.349,0.249,-0.134,0.267,0.959,0.354,0.258,0.307,0.616,0.179,0.289,0.555,1.133,0.732,0.322,0.364,0.453,0.518,0.294,0.538,0.422,0.417,0.167,0.751,0.337,0.545,0.433,0.162,0.654,1.063,0.497,0.717,0.216,0.268,0.436,0.137,0.427,0.289,0.495,0.367
North Dakota,-1.142,-1.031,-1.014,-1.237,-0.909,-1.036,-0.931,-0.652,-1.098,-0.457,-1.005,-0.616,-1.562,-1.078,-0.766,-0.857,-0.810,-1.065,-1.079,-1.233,-0.682,-1.025,-0.855,-0.964,-0.754,-0.779,-1.557,-0.981,-0.840,-0.725,-0.946,-1.109,-1.102,-1.075,-0.695,-0.975,-1.092,-0.414,-0.487,-0.971,-0.594,-0.799,-1.433,-1.550,-0.986,-0.991,-1.366,-1.103,-0.863,-1.902,-0.840,-0.870,-1.372,-0.841,-1.767,-0.920,-1.031,-0.922,-1.047,-0.828,-0.872,-1.880,-0.940,-1.105,-1.405,-0.608,-1.749,-0.735,-0.962,-1.102,-1.152,-0.669,-0.734,-1.759,-1.363,-0.924,-1.841,-1.551,-1.507,-1.659,-1.165,-0.675,-1.373,-0.982,-1.101,-0.677,-1.004,-1.159,-0.717,-0.658,-0.739,-1.042,-1.719,-0.414,-1.520,-0.985,-1.595,-0.608,-1.482,-1.560
Ohio,0.771,0.419,0.052,0.111,0.327,0.262,0.048,0.162,0.080,0.108,0.274,0.034,0.315,-0.030,0.462,0.115,0.198,0.539,0.314,-0.061,0.132,0.324,0.095,0.415,0.491,0.371,0.018,0.347,0.462,0.475,0.224,0.263,0.314,0.564,0.454,0.138,0.201,0.363,-0.157,0.201,-0.001,0.386,0.604,0.348,0.267,0.182,0.104,-0.006,0.408,0.276,0.395,0.002,0.260,0.395,0.220,0.220,0.417,-0.179,0.440,0.571,0.495,0.223,0.584,0.210,0.324,0.307,0.581,0.135,0.238,0.513,0.315,0.279,0.287,0.169,0.344,-0.043,-0.026,0.425,0.229,0.204,0.456,0.485,0.324,0.392,0.090,0.358,0.396,0.560,0.361,0.219,0.328,0.632,0.163,0.270,0.283,0.188,0.284,-0.012,0.235,0.024
Oklahoma,-0.706,-0.737,-0.408,-0.598,-0.863,-0.745,-0.773,-1.031,-0.418,-0.809,-0.692,-0.830,-0.652,-0.781,-0.591,-0.355,-0.867,-0.509,-0.766,-0.417,-0.672,-0.494,-0.635,-1.040,-0.424,-0.698,-0.308,-0.635,-0.772,-0.443,-0.775,-0.793,-0.182,-0.573,-0.614,-0.746,-0.684,-0.512,-0.800,-0.868,-0.736,-0.560,-0.486,-0.552,-0.647,-1.107,-0.661,-0.509,-0.914,-0.644,-0.934,-0.327,-0.505,-0.609,-0.664,-0.672,-0.961,-0.803,-0.866,-0.641,-0.651,-0.478,-0.610,-0.463,-0.656,-0.666,-0.470,-0.680,-0.733,-0.763,-0.709,-0.908,-0.823,-0.671,-0.706,-0.705,-0.575,-0.862,-0.265,-0.433,-0.921,-0.516,-0.860,-0.416,-0.735,-0.422,-0.969,-0.461,-0.758,-0.594,-0.840,-0.415,-0.405,-0.888,-0.854,-0.659,-0.553,-0.408,-0.647,-0.661
Oregon,-0.222,-0.507,-0.512,0.534,-0.284,-0.412,-0.170,-0.001,-0.192,-0.227,-0.411,-0.454,-0.139,-0.573,-0.767,-1.216,0.030,-0.537,-0.220,-0.403,-0.689,-0.517,-0.853,-0.537,-0.641,-1.037,-0.184,-0.512,-0.479,-0.785,-0.712,-0.278,-0.701,-0.693,-0.487,-0.505,-0.148,-0.370,-0.217,-0.385,-0.773,-0.751,-0.253,-0.458,-0.278,-0.017,-0.358,-0.527,0.340,-0.395,-0.253,-0.148,-0.438,-0.556,-0.002,-0.046,-0.088,-0.720,-0.581,-0.942,-0.020,-0.108,-0.831,-0.051,-0.323,-0.649,-0.391,-1.122,-0.190,0.025,-0.495,-0.512,-0.797,-0.484,-0.163,-0.838,-0.303,-0.569,-0.214,-0.348,-0.131,-0.525,-0.561,-0.623,-0.647,-0.766,-0.509,-0.544,0.379,-0.124,-0.570,0.118,-0.336,-0.319,-0.460,-0.244,-0.287,-0.949,-0.368,-0.321
Pennsylvania,0.617,0.182,0.513,0.208,0.503,0.550,0.659,0.350,1.006,0.098,0.435,0.057,0.168,0.862,0.814,0.726,0.381,0.490,0.432,0.563,0.392,0.336,1.302,0.391,0.446,0.984,0.489,0.987,0.303,0.381,0.478,0.458,0.522,0.489,0.613,0.455,0.263,0.414,0.304,0.293,0.703,0.722,0.306,0.546,0.417,0.399,0.399,0.834,0.335,0.530,0.625,0.888,0.414,0.514,0.001,0.300,0.447,0.721,0.549,0.607,0.508,0.311,0.590,0.441,0.908,0.450,0.683,0.797,0.575,0.662,0.401,0.429,0.587,0.473,0.634,0.899,0.388,0.651,0.471,0.601,-0.077,0.596,0.251,0.537,0.967,0.269,0.790,0.459,0.272,0.621,0.373,0.378,0.423,0.477,0.394,0.411,0.592,0.564,0.430,0.788
Rhode Island,0.455,0.466,0.001,0.189,-0.013,0.250,0.721,0.222,0.756,0.167,0.769,0.352,0.189,0.615,0.601,0.592,0.395,0.215,0.885,0.295,-0.324,0.116,0.589,0.448,0.047,0.681,0.092,0.629,0.077,0.191,0.422,0.683,0.444,0.439,-0.093,0.381,0.737,0.081,0.252,0.177,0.519,0.325,0.411,0.585,0.613,0.168,0.539,1.000,1.095,0.447,0.337,1.066,0.595,-0.020,-0.256,-0.035,0.346,0.359,0.385,0.189,-0.400,0.743,0.220,0.457,0.270,0.587,0.021,0.476,-0.053,0.151,0.758,0.817,0.136,0.264,0.774,0.742,0.603,0.385,-0.132,0.935,0.307,0.033,0.166,0.653,1.136,-0.087,0.714,-0.016,0.490,0.407,0.146,0.814,0.475,0.416,-0.019,-0.047,0.403,0.745,0.301,0.501
South Carolina,-0.751,-0.824,-0.683,-0.808,-0.798,-0.698,-1.024,-0.900,-0.493,-0.752,-0.858,-0.727,-0.816,-0.602,-0.671,-0.497,-0.849,-0.949,-1.086,-0.291,-0.569,-0.814,-0.556,-0.931,-0.990,-0.696,-0.742,-0.326,-1.054,-0.745,-0.612,-0.932,-0.317,-1.000,-0.630,-0.972,-0.888,-0.764,-0.537,-0.471,-0.513,-1.135,-0.714,-0.874,-0.760,-0.652,-0.336,-0.484,-0.826,-0.803,-0.719,-0.326,-0.742,-0.939,-0.794,-0.732,-1.125,-0.572,-0.805,-0.987,-0.906,-0.861,-1.019,-0.977,-0.368,-1.199,-0.874,-0.545,-0.621,-1.080,-0.984,-0.555,-0.906,-0.798,-0.571,-0.355,-0.267,-0.793,-0.591,-0.723,-0.812,-0.818,-0.662,-0.999,-0.494,-0.818,-0.786,-0.970,-0.556,-0.922,-0.756,-0.528,-0.879,-1.065,-0.635,-1.090,-0.675,-0.501,-0.338,-0.564
South Dakota,-0.974,-0.821,-0.965,-0.713,-1.306,-0.905,-0.134,-0.755,-1.098,-0.384,-1.298,-0.745,-1.562,-1.049,-1.383,-1.056,-1.318,-1.338,-1.032,-1.233,-0.822,-1.293,-1.001,-0.982,-1.383,-1.354,-1.557,-0.981,-0.738,-1.319,-1.120,-1.275,-1.231,-1.509,-0.975,-1.084,-1.310,-1.252,-1.000,-0.845,-1.113,-1.287,-1.433,-1.550,-1.310,-1.230,-1.366,-1.103,-1.222,-1.902,-1.595,-0.870,-1.174,-1.459,-0.828,-1.344,-1.275,-1.134,-0.796,-0.877,-0.768,-1.880,-0.816,-1.120,-1.405,-1.138,-1.749,-0.625,-0.754,-1.111,-1.425,-0.620,-0.910,-1.759,-1.363,-1.753,-1.841,-1.551,-1.507,-1.659,-1.134,-1.938,-1.373,-1.519,-1.355,-1.222,-0.802,-1.434,-1.337,-0.745,-0.855,-1.042,-1.719,-1.052,-1.520,-1.008,-1.595,-0.583,-1.482,-1.560
Tennessee,-0.391,-0.330,-0.425,-0.540,-0.272,-0.486,-0.525,-0.505,-0.300,-0.098,-0.353,-0.396,-0.029,-0.133,-0.559,-0.116,-0.409,-0.111,-0.069,-0.037,-0.183,-0.293,-0.338,-0.590,-0.118,-0.541,-0.561,-0.388,-0.482,-0.383,-0.479,-0.112,0.053,-0.095,-0.563,-0.133,-0.270,-0.377,-0.746,-0.555,-0.111,0.101,-0.124,-0.186,-0.268,-0.411,-0.223,-0.308,-0.438,-0.094,-0.328,-0.309,-0.323,-0.250,-0.405,-0.234,-0.396,-0.375,-0.433,-0.297,-0.472,-0.202,-0.302,-0.276,-0.089,-0.231,0.064,-0.517,-0.551,-0.706,-0.240,-0.085,-0.459,-0.014,-0.066,-0.301,-0.096,0.084,-0.360,-0.133,-0.380,0.043,-0.573,0.176,-0.197,-0.279,0.191,-0.340,-0.386,-0.177,-0.176,-0.369,-0.077,-0.459,-0.014,-0.311,-0.252,-0.289,-0.052,-0.208
Texas,0.130,0.081,0.255,0.343,0.393,-0.179,-0.160,0.184,0.069,0.199,0.467,0.131,0.168,-0.287,0.283,0.237,0.526,0.636,0.595,0.219,0.357,0.367,0.010,0.279,0.519,0.407,0.354,-0.059,0.381,0.618,-0.113,0.548,0.435,0.423,0.265,0.389,0.701,0.492,0.057,0.165,-0.350,0.224,0.142,0.279,0.465,0.180,0.279,0.193,0.622,0.372,-0.122,-0.126,0.610,0.211,0.845,0.623,0.089,-0.026,0.055,0.453,0.272,0.527,0.426,0.572,-0.005,0.290,0.282,-0.369,0.202,0.061,0.509,0.234,-0.032,0.437,0.109,0.166,0.316,0.065,0.755,0.528,0.069,0.257,0.445,0.538,0.088,0.695,-0.313,0.457,0.739,-0.102,0.463,-0.038,0.575,0.105,0.503,0.398,0.459,0.006,0.361,0.259
Utah,-0.192,-0.146,0.279,-0.291,0.052,-0.618,-0.031,0.201,-0.167,-0.093,-0.044,-0.041,-0.262,-0.432,-0.644,-0.461,-0.134,0.073,-0.024,-0.525,-0.279,0.171,-0.512,0.226,0.260,-0.430,-0.381,-0.131,0.123,-0.038,-0.050,0.183,-0.099,-0.100,-0.346,0.447,-0.107,0.184,-0.373,-0.455,-0.186,0.642,-0.191,0.142,-0.001,-0.560,-0.247,-0.180,-0.387,0.271,0.035,-0.196,-0.014,0.332,-0.437,0.613,0.755,-0.122,-0.058,-0.218,0.277,0.419,-0.166,0.212,-0.496,0.140,0.784,0.343,-0.302,0.799,0.113,-0.118,-0.560,0.342,-0.370,-0.033,-0.425,0.666,-0.006,0.413,0.424,0.424,-0.223,0.322,-0.425,0.181,-0.236,0.562,-0.513,0.170,0.066,-0.563,0.118,0.024,-0.054,-0.048,-0.167,-0.482,0.295,-0.174
Vermont,-0.614,-0.279,-0.804,-0.747,-0.867,-0.332,-0.562,-0.429,-1.098,-0.568,-1.081,-0.734,-0.485,-0.317,-0.521,-0.725,-0.857,-1.121,-1.002,-1.233,-0.851,-0.932,-0.334,-0.892,-0.962,-0.449,-0.319,-0.981,-0.851,-1.198,-0.266,-0.978,-0.720,-1.124,-0.351,-0.877,-0.662,-0.692,-0.511,-0.849,-0.631,-1.147,-1.433,-0.663,-1.161,-0.595,-1.366,-1.103,-1.219,-0.770,0.173,-0.870,-1.063,-0.892,-0.382,-0.896,-0.730,0.531,-0.577,-1.037,-0.887,-0.849,-1.132,-0.743,0.476,-0.612,-0.657,-0.585,-0.137,-0.063,-0.797,-0.329,-0.316,-0.711,-1.363,-0.040,-0.096,-0.693,-1.507,-1.659,-1.038,-0.531,-0.778,-1.121,-0.337,-1.274,-0.451,-0.876,-1.122,-0.530,-0.761,-1.042,-0.700,-0.751,-0.339,-1.221,-0.647,-0.472,-0.009,-0.413
Virginia,1.589,1.738,1.767,1.424,1.416,1.300,0.573,1.493,0.793,2.225,1.762,2.029,1.758,0.626,0.942,0.824,1.441,1.238,1.615,0.755,1.689,1.541,1.530,1.335,1.335,0.907,1.544,0.738,2.085,1.405,0.792,1.740,1.076,1.216,1.694,1.080,1.423,1.276,2.057,2.060,0.816,0.886,1.561,0.774,1.877,1.315,1.074,1.071,1.290,1.342,0.550,0.610,1.401,1.297,2.281,1.881,1.281,1.192,0.907,1.061,1.212,1.366,1.054,1.313,1.333,0.998,1.260,0.391,1.898,0.569,1.293,0.627,0.938,1.030,1.732,0.825,1.013,1.257,1.558,1.535,1.173,1.970,0.873,1.162,0.455,1.844,0.289,1.364,2.223,1.012,1.224,2.087,1.611,1.546,1.785,1.435,0.951,1.206,0.724,0.480
Washington,0.320,0.572,0.672,0.316,0.319,0.056,0.668,1.143,-0.033,0.553,-0.365,0.437,0.383,0.228,0.263,-0.040,1.129,-0.329,-0.392,0.125,-0.131,-0.412,-0.308,-0.293,-0.371,0.055,0.161,-0.196,0.490,-0.256,1.285,-0.492,1.353,-0.476,-0.043,0.125,-0.120,-0.337,0.662,0.052,-0.380,-0.351,0.663,0.371,-0.437,0.295,-0.105,0.189,0.388,-0.216,0.213,0.270,-0.351,-0.145,1.034,-0.249,-0.218,-0.072,0.201,-0.680,0.752,-0.197,-0.698,-0.063,-0.551,-0.156,0.054,-0.153,0.047,1.164,-0.397,0.287,0.054,0.101,0.058,-0.145,0.645,-0.102,-0.300,-0.130,0.093,0.403,0.309,-0.205,0.349,-0.507,0.679,-0.237,0.136,0.471,-0.029,-0.444,-0.314,0.805,0.476,-0.491,-0.088,-0.200,0.194,1.134
West Virginia,-0.733,-1.216,-1.090,-0.578,-1.289,-1.037,-1.231,-1.193,-1.098,-0.803,-0.865,-0.921,-0.869,-0.752,-1.014,-0.967,-0.958,-1.092,-1.061,-1.233,-1.079,-0.779,-0.503,-0.997,-0.908,-0.922,-0.423,-0.981,-0.988,-0.726,-1.205,-1.078,-1.222,-0.860,-1.010,-1.172,-0.789,-0.616,-0.904,-1.242,-0.605,-0.934,-1.433,-0.962,-0.860,-0.993,-1.366,-1.103,-1.222,-0.941,-0.969,-0.870,-0.739,-0.927,-0.600,-0.705,-0.943,-1.038,-1.205,-0.945,-1.467,-0.826,-0.988,-0.746,-0.096,-0.983,-0.619,-0.970,-0.753,-1.491,-0.812,-0.893,-1.231,-1.028,-1.363,-0.874,-0.369,-0.497,-1.507,-0.734,-1.071,-0.964,-0.983,-1.011,-1.084,-0.493,-1.065,-0.761,-1.188,-1.319,-1.170,-1.042,-0.539,-1.072,-1.520,-0.954,-1.016,-0.795,-1.482,-1.560
Wisconsin,-0.375,0.190,-0.267,-0.568,0.023,-0.119,-0.071,-0.060,-0.422,-0.042,-0.204,-0.335,0.015,-0.439,-0.326,-0.017,-0.100,-0.254,-0.306,0.096,0.295,-0.256,-0.301,-0.237,-0.216,-0.309,-0.403,0.010,-0.144,-0.254,-0.031,-0.442,0.043,-0.164,-0.019,-0.246,-0.424,-0.271,-0.626,-0.240,0.026,-0.161,0.259,-0.216,-0.331,-0.156,-0.189,-0.195,-0.061,-0.228,0.070,-0.223,-0.435,-0.222,-0.105,-0.445,-0.073,-0.360,-0.090,-0.375,0.047,-0.263,-0.257,-0.251,-0.291,-0.193,0.128,-0.032,-0.196,-0.056,-0.240,0.017,-0.087,-0.241,-0.085,-0.465,-0.303,0.093,-0.279,-0.227,-0.177,-0.118,-0.136,-0.297,0.026,-0.665,0.667,-0.108,-0.281,0.001,-0.262,-0.523,-0.280,0.039,-0.215,-0.413,-0.179,0.016,-0.274,-0.209
Wyoming,-1.433,-1.175,-2.356,-1.871,-1.560,-1.112,-1.558,-1.462,-1.098,-1.801,-1.389,-1.364,-1.562,-1.117,-1.134,-1.500,-2.026,-1.425,-1.181,-1.233,-1.565,-1.385,-1.072,-1.420,-1.607,-0.874,-1.557,-0.981,-1.750,-1.321,-1.352,-1.379,-1.226,-1.304,-1.462,-1.990,-1.292,-2.416,-1.425,-1.422,-1.217,-1.394,-1.433,-1.550,-1.305,-1.472,-1.366,-1.103,-2.352,-1.902,-1.595,-0.870,-1.160,-1.344,-1.767,-1.491,-1.235,-0.973,-0.779,-1.365,-1.855,-1.880,-1.404,-2.183,-1.405,-1.219,-1.749,-1.585,-2.361,-1.560,-1.400,-2.722,-1.017,-1.759,-1.363,-1.753,-1.841,-1.551,-1.507,-1.659,-1.767,-1.938,-1.373,-1.352,-1.528,-2.056,-1.267,-1.457,-1.632,-1.531,-1.786,-1.042,-1.719,-1.376,-1.520,-1.176,-1.595,-1.997,-1.482,-1.560


